row_id,ambiguous_query,patient_context,ground_truth,label,food_phrase,decision,agent_state,family_name,max_belief,n_hypotheses_init,n_hypotheses_final,entropy_init,entropy_final,candidates_init,candidates_final,turns,stop_reason,abstained,question_log,clarified_query,response,label_binary,pred_binary,correct,entropy_reduction
70,I'm thinking about peanut butter toast for breakfast.,no restrictions,no restrictions,okay,peanut butter toast,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Milk Allergy""}, {""name"": ""Peanut Allergy""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Wheat Allergy""}, {""name"": ""Celiac Disease""}, {""name"": ""Non-Celiac Gluten Sensitivity""}, {""name"": ""Lactose Intolerance""}]","[{""name"": ""Celiac Disease""}, {""name"": ""Non-Celiac Gluten Sensitivity""}, {""name"": ""Lactose Intolerance""}]",9,belief_concentrated,False,"[{""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:afb9afa53b0e"", ""name"": ""Coronary Artery Disease"", ""question"": ""Do you have Coronary Artery Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:2e7728fa7fee"", ""name"": ""Milk Allergy"", ""question"": ""Do you have Milk Allergy?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:be3d27632082"", ""name"": ""Peanut Allergy"", ""question"": ""Do you have Peanut Allergy?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:f258c4dbf02c"", ""name"": ""Hypercholesterolemia"", ""question"": ""Do you have Hypercholesterolemia?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:af72e20ce531"", ""name"": ""Wheat Allergy"", ""question"": ""Do you have Wheat Allergy?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: I'm thinking about peanut butter toast for breakfast.
Clarification answers:
  - Type 1 Diabetes Mellitus: No
  - Gestational Diabetes Mellitus: No
  - Prediabetes: No
  - Type 2 Diabetes Mellitus: No
  - Coronary Artery Disease: No
  - Milk Allergy: No
  - Peanut Allergy: No
  - Hypercholesterolemia: No
  - Wheat Allergy: No

KG risk conditions: Celiac Disease, Non-Celiac Gluten Sensitivity, Lactose Intolerance.",OKAY,OKAY,OKAY,True,2.0
71,"I'm craving a mango smoothie, is that okay?",no restrictions,no restrictions,okay,"mango smoothie,",OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Prediabetes""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Hypertension""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Milk Allergy""}, {""name"": ""End-Stage Renal Disease""}, {""name"": ""Metabolic Syndrome""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}, {""name"": ""Hypertriglyceridemia""}]","[{""name"": ""Metabolic Syndrome""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}, {""name"": ""Hypertriglyceridemia""}]",9,belief_concentrated,False,"[{""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:2e7728fa7fee"", ""name"": ""Milk Allergy"", ""question"": ""Do you have Milk Allergy?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:c681f994368d"", ""name"": ""End-Stage Renal Disease"", ""question"": ""Do you have End-Stage Renal Disease?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: I'm craving a mango smoothie, is that okay?
Clarification answers:
  - Prediabetes: No
  - Type 1 Diabetes Mellitus: No
  - Gestational Diabetes Mellitus: No
  - Type 2 Diabetes Mellitus: No
  - Hypertension: No
  - Chronic Kidney Disease: No
  - Congestive Heart Failure: No
  - Milk Allergy: No
  - End-Stage Renal Disease: No

KG risk conditions: Metabolic Syndrome, Non-Alcoholic Fatty Liver Disease, Hypertriglyceridemia.",OKAY,OKAY,OKAY,True,2.0
72,Can I try some grilled salmon with vegetables?,high cholesterol,high cholesterol,okay,grilled salmon with vegetables,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Chronic Kidney Disease""}, {""name"": ""Fish Allergy""}, {""name"": ""Gastroparesis""}, {""name"": ""Gout""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Atrial Fibrillation""}, {""name"": ""Shellfish Allergy""}, {""name"": ""Hyperthyroidism""}, {""name"": ""Hypothyroidism""}, {""name"": ""Nephrolithiasis""}, {""name"": ""Diverticulitis""}]","[{""name"": ""Hypothyroidism""}, {""name"": ""Nephrolithiasis""}, {""name"": ""Diverticulitis""}]",9,belief_concentrated,False,"[{""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:54414c91de37"", ""name"": ""Fish Allergy"", ""question"": ""Do you have Fish Allergy?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:c876b0cbfc73"", ""name"": ""Gastroparesis"", ""question"": ""Do you have Gastroparesis?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:660abd6d6c2b"", ""name"": ""Gout"", ""question"": ""Do you have Gout?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:afb9afa53b0e"", ""name"": ""Coronary Artery Disease"", ""question"": ""Do you have Coronary Artery Disease?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:5e6e34548da9"", ""name"": ""Atrial Fibrillation"", ""question"": ""Do you have Atrial Fibrillation?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:63d294bff500"", ""name"": ""Shellfish Allergy"", ""question"": ""Do you have Shellfish Allergy?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:c98801edf863"", ""name"": ""Hyperthyroidism"", ""question"": ""Do you have Hyperthyroidism?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Can I try some grilled salmon with vegetables?
Clarification answers:
  - Chronic Kidney Disease: No
  - Fish Allergy: No
  - Gastroparesis: No
  - Gout: No
  - Congestive Heart Failure: No
  - Coronary Artery Disease: No
  - Atrial Fibrillation: No
  - Shellfish Allergy: No
  - Hyperthyroidism: No

KG risk conditions: Hypothyroidism, Nephrolithiasis, Diverticulitis.",OKAY,OKAY,OKAY,True,2.0
73,Would it be okay to eat spicy lamb curry?,acid reflux,acid reflux,not_okay,spicy lamb curry,NOT OKAY,ANSWER,,1.0,9,1,3.1699,0.0,"[{""name"": ""Chronic Kidney Disease""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Gastritis""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Crohn's Disease""}, {""name"": ""Ulcerative Colitis""}, {""name"": ""Pregnancy""}]","[{""name"": ""Gastroesophageal Reflux Disease""}]",3,confirmed_risky,False,"[{""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.125}, {""cid"": ""COND:5b7f792d1ef4"", ""name"": ""Irritable Bowel Syndrome"", ""question"": ""Do you have Irritable Bowel Syndrome?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.1429}, {""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": true, ""ig"": 0.5917, ""max_b"": 1.0}]","Food query: Would it be okay to eat spicy lamb curry?
Clarification answers:
  - Chronic Kidney Disease: No
  - Irritable Bowel Syndrome: No
  - Gastroesophageal Reflux Disease: Yes

KG risk conditions: Gastroesophageal Reflux Disease.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.1699
74,Can I eat white rice with chicken curry?,peanut allergy,peanut allergy,okay,white rice with chicken curry,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Gastritis""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]","[{""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]",9,belief_concentrated,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:5b7f792d1ef4"", ""name"": ""Irritable Bowel Syndrome"", ""question"": ""Do you have Irritable Bowel Syndrome?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:47e3393e259d"", ""name"": ""Gastritis"", ""question"": ""Do you have Gastritis?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:9b8acc8ea84b"", ""name"": ""Peptic Ulcer Disease"", ""question"": ""Do you have Peptic Ulcer Disease?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Can I eat white rice with chicken curry?
Clarification answers:
  - Type 2 Diabetes Mellitus: No
  - Prediabetes: No
  - Gestational Diabetes Mellitus: No
  - Type 1 Diabetes Mellitus: No
  - Chronic Kidney Disease: No
  - Gastroesophageal Reflux Disease: No
  - Irritable Bowel Syndrome: No
  - Gastritis: No
  - Peptic Ulcer Disease: No

KG risk conditions: Coronary Artery Disease, Congestive Heart Failure, Hypercholesterolemia.",OKAY,OKAY,OKAY,True,2.0
75,Can I eat white rice with chicken curry?,acid reflux,acid reflux,not_okay,white rice with chicken curry,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Gastritis""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]","[{""name"": ""Gastroesophageal Reflux Disease""}]",6,confirmed_risky,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": true, ""ig"": 0.5917, ""max_b"": 1.0}]","Food query: Can I eat white rice with chicken curry?
Clarification answers:
  - Type 2 Diabetes Mellitus: No
  - Prediabetes: No
  - Gestational Diabetes Mellitus: No
  - Type 1 Diabetes Mellitus: No
  - Chronic Kidney Disease: No
  - Gastroesophageal Reflux Disease: Yes

KG risk conditions: Gastroesophageal Reflux Disease.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.585
76,Can I have a cup of coffee now?,acid reflux,acid reflux,not_okay,coffee,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Gastritis""}, {""name"": ""Pregnancy""}, {""name"": ""Migraine""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Hypertension""}, {""name"": ""Atrial Fibrillation""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Cardiac Arrhythmia""}, {""name"": ""Ulcerative Colitis""}, {""name"": ""Osteoporosis""}]","[{""name"": ""Gastroesophageal Reflux Disease""}]",1,confirmed_risky,False,"[{""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": true, ""ig"": 0.469, ""max_b"": 1.0}]","Food query: Can I have a cup of coffee now?
Clarification answers:
  - Gastroesophageal Reflux Disease: Yes

KG risk conditions: Gastroesophageal Reflux Disease.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.585
77,I want to eat some dark chocolate. Is that fine?,peanut allergy,peanut allergy,okay,dark chocolate,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Gastritis""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Pregnancy""}, {""name"": ""Obesity""}, {""name"": ""Migraine""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}]","[{""name"": ""Obesity""}, {""name"": ""Migraine""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}]",9,belief_concentrated,False,"[{""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:afb9afa53b0e"", ""name"": ""Coronary Artery Disease"", ""question"": ""Do you have Coronary Artery Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:47e3393e259d"", ""name"": ""Gastritis"", ""question"": ""Do you have Gastritis?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:f258c4dbf02c"", ""name"": ""Hypercholesterolemia"", ""question"": ""Do you have Hypercholesterolemia?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:0b1e9b6d6668"", ""name"": ""Pregnancy"", ""question"": ""Do you have Pregnancy?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: I want to eat some dark chocolate. Is that fine?
Clarification answers:
  - Type 1 Diabetes Mellitus: No
  - Gestational Diabetes Mellitus: No
  - Prediabetes: No
  - Type 2 Diabetes Mellitus: No
  - Coronary Artery Disease: No
  - Gastritis: No
  - Hypercholesterolemia: No
  - Gastroesophageal Reflux Disease: No
  - Pregnancy: No

KG risk conditions: Obesity, Migraine, Non-Alcoholic Fatty Liver Disease.",OKAY,OKAY,OKAY,True,2.0
78,Can I snack on salted cashews?,no restrictions,no restrictions,okay,salted cashews,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Hypertension""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Tree Nut Allergy""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}, {""name"": ""Gastroparesis""}, {""name"": ""End-Stage Renal Disease""}, {""name"": ""Obesity""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Peanut Allergy""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Pregnancy""}]","[{""name"": ""Peanut Allergy""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Pregnancy""}]",9,belief_concentrated,False,"[{""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:56a8c21de8a7"", ""name"": ""Tree Nut Allergy"", ""question"": ""Do you have Tree Nut Allergy?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:45dd652035fd"", ""name"": ""Non-Alcoholic Fatty Liver Disease"", ""question"": ""Do you have Non-Alcoholic Fatty Liver Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:c876b0cbfc73"", ""name"": ""Gastroparesis"", ""question"": ""Do you have Gastroparesis?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:c681f994368d"", ""name"": ""End-Stage Renal Disease"", ""question"": ""Do you have End-Stage Renal Disease?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:9f8251416f7e"", ""name"": ""Obesity"", ""question"": ""Do you have Obesity?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:f258c4dbf02c"", ""name"": ""Hypercholesterolemia"", ""question"": ""Do you have Hypercholesterolemia?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Can I snack on salted cashews?
Clarification answers:
  - Hypertension: No
  - Congestive Heart Failure: No
  - Chronic Kidney Disease: No
  - Tree Nut Allergy: No
  - Non-Alcoholic Fatty Liver Disease: No
  - Gastroparesis: No
  - End-Stage Renal Disease: No
  - Obesity: No
  - Hypercholesterolemia: No

KG risk conditions: Peanut Allergy, Gastroesophageal Reflux Disease, Pregnancy.",OKAY,OKAY,OKAY,True,2.0
79,Can I eat white rice with chicken curry?,hypertension,hypertension,okay,white rice with chicken curry,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Gastritis""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]","[{""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]",9,belief_concentrated,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:5b7f792d1ef4"", ""name"": ""Irritable Bowel Syndrome"", ""question"": ""Do you have Irritable Bowel Syndrome?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:47e3393e259d"", ""name"": ""Gastritis"", ""question"": ""Do you have Gastritis?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:9b8acc8ea84b"", ""name"": ""Peptic Ulcer Disease"", ""question"": ""Do you have Peptic Ulcer Disease?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Can I eat white rice with chicken curry?
Clarification answers:
  - Type 2 Diabetes Mellitus: No
  - Prediabetes: No
  - Gestational Diabetes Mellitus: No
  - Type 1 Diabetes Mellitus: No
  - Chronic Kidney Disease: No
  - Gastroesophageal Reflux Disease: No
  - Irritable Bowel Syndrome: No
  - Gastritis: No
  - Peptic Ulcer Disease: No

KG risk conditions: Coronary Artery Disease, Congestive Heart Failure, Hypercholesterolemia.",OKAY,OKAY,OKAY,True,2.0
80,Can I break my fast with lentil soup?,no restrictions,no restrictions,okay,can i break my fast with lentil soup,OKAY,ANSWER,,1.0,5,1,2.3219,0.0,"[{""name"": ""Gastroparesis""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Crohn's Disease""}, {""name"": ""Dumping Syndrome""}, {""name"": ""Diverticulitis""}]","[{""name"": ""Diverticulitis""}]",4,belief_concentrated,False,"[{""cid"": ""COND:c876b0cbfc73"", ""name"": ""Gastroparesis"", ""question"": ""Do you have Gastroparesis?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.25}, {""cid"": ""COND:5b7f792d1ef4"", ""name"": ""Irritable Bowel Syndrome"", ""question"": ""Do you have Irritable Bowel Syndrome?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 0.3333}, {""cid"": ""COND:bbc8f1da7f5a"", ""name"": ""Crohn's Disease"", ""question"": ""Do you have Crohn's Disease?"", ""answer"": false, ""ig"": 0.9183, ""max_b"": 0.5}, {""cid"": ""COND:ee3bdcaffa4e"", ""name"": ""Dumping Syndrome"", ""question"": ""Do you have Dumping Syndrome?"", ""answer"": false, ""ig"": 1.0, ""max_b"": 1.0}]","Food query: Can I break my fast with lentil soup?
Clarification answers:
  - Gastroparesis: No
  - Irritable Bowel Syndrome: No
  - Crohn's Disease: No
  - Dumping Syndrome: No

KG risk conditions: Diverticulitis.",OKAY,OKAY,OKAY,True,2.3219
